LC08_L1TP_128033_20210302_20210311_02_T1_B;112;0;0;0;0;0;294;2289;41865;171914;39840270;1393798;19305;43;1;2;0;0;0;0
LC08_L1TP_128033_20210419_20210424_02_T1_B;128;0;0;0;0;0;0;4;4793;102522;37806339;3560926;5688;112;0;0;0;0;0;0
LC08_L1TP_128033_20210521_20210528_02_T1_B;132;0;0;0;0;0;173;8344;46684;67548;9339697;30909219;1035878;68082;8380;1580;113;0;0;0
LC08_L1TP_128033_20210622_20210629_02_T1_B;120;0;0;0;0;8;340;5427;44015;74311;4427268;29840700;6281808;689134;86549;23950;2173;0;0;0
LC08_L1TP_128033_20210708_20210713_02_T1_B;120;0;0;0;12;14;555;8863;48760;126447;9120605;25207730;5189902;1171609;438044;114671;45483;0;0;0
LC08_L1TP_128033_20210809_20210819_02_T1_B;125;0;0;0;0;31;780;680;31156;75621;2583055;29700864;6433070;1313963;999353;329305;13016;0;0;0
LC08_L1TP_128033_20210910_20210916_02_T1_B;136;0;0;0;0;0;561;4396;36197;79286;5421195;28436722;5453342;1192278;797463;61689;437;0;0;0
LC08_L1TP_128033_20211028_20211104_02_T1_B;110;0;0;0;0;0;0;452;18541;91575;39475860;1876591;8262;589;4;0;0;0;0;0
LC08_L1TP_128033_20211113_20211125_02_T1_B;128;0;0;0;0;0;134;1364;39982;91836;38952792;2340263;45234;870;70;0;0;0;0;0
LC08_L1TP_128033_20211231_20220105_02_T1_B;130;0;0;0;0;0;120;543;18019;114669;40794177;550534;6626;0;0;0;0;0;0;0
LC08_L1TP_128033_20220116_20220123_02_T1_B;116;0;0;0;0;0;159;1111;33185;118022;40284692;1034097;9544;1;0;0;0;0;0;0
LC08_L1TP_128033_20220201_20220205_02_T1_B;111;0;0;0;0;0;22;2162;29638;101292;40444611;886920;11460;5;0;0;0;0;0;0
LC08_L1TP_128033_20220321_20220329_02_T1_B;120;0;0;0;0;0;0;14;5391;100009;40404313;955317;10676;18;0;0;0;0;0;0
LC08_L1TP_128033_20220422_20220428_02_T1_B;132;0;0;0;0;0;7;3595;35494;52973;34788228;6536571;64897;1107;3;0;0;0;0;0
